game,data,age,team,opp,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
82,1998-04-18,35-060,CHI,NYK,W (+2),1,39:52,11,24,.458,0,0,,22,24,.917,0,3,3,3,1,0,1,1,44
1,2001-10-30,38-255,WAS,NYK,L (-2),1,36:42,7,21,.333,0,3,.000,5,6,.833,3,2,5,6,4,0,3,3,19
2,2001-11-01,38-257,WAS,ATL,W (+10),1,40:23,13,30,.433,0,3,.000,5,6,.833,0,6,6,6,2,0,1,2,31
3,2001-11-03,38-259,WAS,PHI,W (+14),1,38:06,7,21,.333,0,0,,6,9,.667,2,4,6,9,2,1,2,1,20
4,2001-11-04,38-260,WAS,DET,L (-22),1,22:29,8,18,.444,0,0,,3,3,1.000,0,8,8,2,1,0,1,1,19
5,2001-11-07,38-263,WAS,BOS,L (-9),1,40:34,12,26,.462,0,1,.000,8,10,.800,2,6,8,2,2,0,5,2,32
6,2001-11-09,38-265,WAS,GSW,L (-9),1,38:17,13,30,.433,0,1,.000,6,8,.750,0,3,3,3,3,0,3,3,32
7,2001-11-11,38-267,WAS,SEA,L (-15),1,38:53,5,26,.192,0,1,.000,6,6,1.000,3,9,12,4,1,2,1,4,16
8,2001-11-14,38-270,WAS,MIL,L (-9),1,40:40,12,24,.500,0,1,.000,7,8,.875,1,3,4,3,2,1,3,3,31
9,2001-11-16,38-272,WAS,UTA,L (-9),1,41:03,17,33,.515,1,2,.500,9,11,.818,3,4,7,3,1,0,0,0,44
10,2001-11-20,38-276,WAS,CHH,L (-7),1,41:03,13,23,.565,1,2,.500,3,4,.750,0,4,4,6,2,0,5,4,30
11,2001-11-22,38-278,WAS,IND,L (-7),1,39:39,8,26,.308,0,1,.000,5,5,1.000,0,5,5,6,2,1,3,1,21
12,2001-11-24,38-280,WAS,BOS,W (+4),1,44:41,7,24,.292,0,1,.000,3,3,1.000,1,10,11,6,1,0,2,3,17
13,2001-11-27,38-283,WAS,CLE,L (-19),1,30:44,9,24,.375,0,0,,0,0,,1,3,4,5,1,0,0,2,18
14,2001-11-28,38-284,WAS,PHI,W (+7),1,38:04,11,27,.407,0,1,.000,8,10,.800,0,6,6,7,5,1,1,2,30
15,2001-11-30,38-286,WAS,MIA,W (+9),1,37:44,10,20,.500,0,1,.000,2,3,.667,1,6,7,5,0,0,2,2,22
16,2001-12-01,38-287,WAS,ORL,L (-9),1,33:25,6,19,.316,0,0,,3,3,1.000,0,7,7,7,0,2,2,4,15
17,2001-12-06,38-292,WAS,HOU,W (+3),1,32:51,9,23,.391,0,0,,0,0,,0,6,6,7,0,0,4,2,18
18,2001-12-08,38-294,WAS,DAL,W (+7),1,35:05,7,21,.333,0,1,.000,7,9,.778,2,10,12,4,4,0,1,3,21
